Distance_(pixels),Distance_(pixels),Gray_Value,Y1,Y2,Y4,Diffraction_Limited,Averaged Image,Estimated SR Image,Target SR Image
0,0,3206,3193,1593,2980,0.048920424,0.048722057,0.024307622,0.045471885
0.2,1,3274.286,3269.214,1968.964,2894.928,0.049962402,0.049885008,0.030044465,0.04417377
0.4,2,2140.143,3503.214,3444.357,3005.357,0.032656489,0.053455619,0.052557519,0.045858808
0.6,3,2644.107,3525.572,3268.286,2881.643,0.040346487,0.05379678,0.049870848,0.043971054
0.8,4,3452.143,3304.572,2078.857,3374.143,0.052676326,0.050424537,0.031721324,0.051486122
1,5,3463.786,3262.893,1827.571,3225.357,0.052853986,0.049788556,0.027886946,0.049215793
1.2,6,2630.572,3423.714,2465.5,3455.928,0.040139956,0.052242527,0.037621118,0.052734081
1.4,7,3272.25,3694.25,3594.25,2921.75,0.049931334,0.056370642,0.054844739,0.044583047
1.6,8,3421.143,3522,2756.428,2771.857,0.052203296,0.053742275,0.042060395,0.042295827
1.8,9,4574.857,3414.286,1414.857,2078.607,0.069807843,0.052098665,0.021589334,0.03171751
2,10,4039.5,3604.786,585.214,1425.429,0.061638819,0.055005509,0.008929793,0.021750652
2.2,11,4449.714,5533.357,792.393,1415.107,0.067898283,0.084433616,0.012091142,0.021593149
2.4,12,8718,8467.429,1578,714.429,0.133028153,0.129204685,0.024078737,0.010901488
2.6,13,14580.714,10786.714,2382.786,781.25,0.222487434,0.164594705,0.036358984,0.011921111
2.8,14,16738,14489.5,4633,1080.5,0.255405509,0.221095598,0.070695048,0.016487373
3,15,20004.715,19342.428,14075.321,16329.5,0.305252384,0.295146532,0.214775631,0.249172198
3.2,16,27918.857,22226.572,35430.57,35363.145,0.42601445,0.339155749,0.540635843,0.539607004
3.4,17,28041.678,19284.143,14049.786,19265.072,0.427888579,0.29425716,0.214385992,0.293966155
3.6,18,15596.214,13833.714,3159.857,2521.214,0.237982971,0.211088945,0.048216327,0.03847126
3.8,19,7907.25,9269.286,1723.25,223.857,0.120656901,0.141440238,0.026295109,0.003415839
4,20,6869.429,5915.857,1157.143,316,0.104820768,0.090270192,0.01765687,0.004821851
4.2,21,2573.5,4119.75,796.75,731.75,0.039269093,0.062863355,0.012157626,0.011165789
4.4,22,3433.928,3399.5,1143.143,2108.428,0.052398383,0.051873045,0.017443244,0.032172549
4.6,23,3340.25,3241.572,1696.107,2753,0.050968948,0.049463218,0.025880934,0.042008087
4.8,24,3110.286,3462.857,2631,2863.143,0.047459922,0.052839811,0.040146487,0.043688762
5,25,2849.928,3613.536,655.5,823.286,0.043487114,0.055139025,0.010002289,0.012562539
5.2,26,3906.643,3368.357,201,399.357,0.059611551,0.051397833,0.003067063,0.006093797
5.4,27,2405.964,3317.75,201,0,0.036712657,0.05062562,0.003067063,0
5.6,28,3876,3330,201,708,0.059143969,0.050812543,0.003067063,0.010803388
